tanggal,pm10,so2,co,o3,no2,max,critical,kategori
02/15/22,33,7,11,37,9,37,O3,BAIK
02/16/22,51,7,16,39,10,51,PM10,SEDANG
02/17/22,86,14,26,81,11,86,PM10,SEDANG
02/18/22,41,7,10,44,7,44,O3,BAIK
02/19/22,73,10,50,92,15,92,O3,SEDANG
02/20/22,53,8,13,35,6,53,PM10,SEDANG
02/21/22,34,7,11,30,8,34,PM10,BAIK
02/22/22,62,10,15,44,7,62,PM10,SEDANG
02/23/22,39,8,12,26,8,39,PM10,BAIK
02/24/22,55,10,21,25,7,55,PM10,SEDANG
02/25/22,30,7,24,28,8,30,PM10,BAIK
02/26/22,58,12,30,75,7,75,O3,SEDANG
02/27/22,48,11,10,83,7,83,O3,SEDANG
02/28/22,60,18,12,102,11,102,O3,TIDAK SEHAT
03/01/22,52,8,19,67,6,67,O3,SEDANG
03/02/22,34,7,9,40,7,40,O3,BAIK
03/03/22,53,7,15,35,7,53,PM10,SEDANG
03/04/22,66,19,7,107,14,107,O3,TIDAK SEHAT
03/05/22,68,17,7,104,12,104,O3,TIDAK SEHAT
03/06/22,32,9,7,136,7,136,O3,TIDAK SEHAT
03/07/22,48,12,9,134,8,134,O3,TIDAK SEHAT
03/08/22,52,12,25,57,4,57,O3,SEDANG
03/09/22,62,11,39,46,7,62,PM10,SEDANG
03/10/22,78,21,23,102,16,102,O3,TIDAK SEHAT
03/11/22,47,10,20,44,5,47,PM10,BAIK
03/12/22,67,11,58,46,13,67,PM10,SEDANG
03/13/22,57,11,14,122,7,122,O3,TIDAK SEHAT
03/14/22,50,8,8,79,6,79,O3,SEDANG
03/15/22,34,9,13,119,9,119,O3,TIDAK SEHAT
03/16/22,63,21,15,108,6,108,O3,TIDAK SEHAT
03/17/22,58,19,11,119,5,119,O3,TIDAK SEHAT
03/18/22,44,11,16,63,6,63,O3,SEDANG
03/19/22,67,11,41,78,12,78,O3,SEDANG
03/20/22,52,12,40,119,12,119,O3,TIDAK SEHAT
03/21/22,44,12,25,60,5,60,O3,SEDANG
03/22/22,76,14,62,110,10,110,O3,TIDAK SEHAT
03/23/22,50,12,20,65,6,65,O3,SEDANG
03/24/22,62,12,41,50,15,62,PM10,SEDANG
03/25/22,58,12,43,64,13,64,O3,SEDANG
03/26/22,53,14,24,59,6,59,O3,SEDANG
03/27/22,50,14,31,44,12,50,PM10,BAIK
03/28/22,40,14,34,35,5,40,PM10,BAIK
03/29/22,45,15,43,84,9,84,O3,SEDANG
03/30/22,36,14,29,78,11,78,O3,SEDANG
03/31/22,62,13,39,74,9,74,O3,SEDANG
04/01/22,70,13,42,79,10,79,O3,SEDANG
04/02/22,57,15,104,9,104,4,CO,TIDAK SEHAT
04/03/22,45,14,27,54,8,54,O3,SEDANG
04/04/22,63,26,107,8,107,4,CO,TIDAK SEHAT
04/05/22,45,36,25,46,5,46,O3,BAIK
04/06/22,51,37,15,46,6,51,PM10,SEDANG
04/07/22,48,38,14,51,5,51,O3,SEDANG
